"Step","retrogan_full_150epochs_nocycleid - simverb","retrogan_full_150epochs_nocycleid - simverb__MIN","retrogan_full_150epochs_nocycleid - simverb__MAX","retrogan_ook_150epochs_nocycleid - simverb","retrogan_ook_150epochs_nocycleid - simverb__MIN","retrogan_ook_150epochs_nocycleid - simverb__MAX","retrogan_full_150epochs_nocyclemae - simverb","retrogan_full_150epochs_nocyclemae - simverb__MIN","retrogan_full_150epochs_nocyclemae - simverb__MAX","retrogan_ook_150epochs_nocyclemae - simverb","retrogan_ook_150epochs_nocyclemae - simverb__MIN","retrogan_ook_150epochs_nocyclemae - simverb__MAX","retrogan_full_150epochs_noonewaymm - simverb","retrogan_full_150epochs_noonewaymm - simverb__MIN","retrogan_full_150epochs_noonewaymm - simverb__MAX","retrogan_ook_150epochs_alllosses - simverb","retrogan_ook_150epochs_alllosses - simverb__MIN","retrogan_ook_150epochs_alllosses - simverb__MAX","retrogan_ook_150epochs_nocycledis - simverb","retrogan_ook_150epochs_nocycledis - simverb__MIN","retrogan_ook_150epochs_nocycledis - simverb__MAX","retrogan_full_150epochs_nocyclemm - simverb","retrogan_full_150epochs_nocyclemm - simverb__MIN","retrogan_full_150epochs_nocyclemm - simverb__MAX","retrogan_full_150epochs_nocycledis - simverb","retrogan_full_150epochs_nocycledis - simverb__MIN","retrogan_full_150epochs_nocycledis - simverb__MAX","retrogan_ook_150epochs_noonewaymm - simverb","retrogan_ook_150epochs_noonewaymm - simverb__MIN","retrogan_ook_150epochs_noonewaymm - simverb__MAX","retrogan_ook_150epochs_nocyclemm - simverb","retrogan_ook_150epochs_nocyclemm - simverb__MIN","retrogan_ook_150epochs_nocyclemm - simverb__MAX","retrogan_full_150epochs_alllosses - simverb","retrogan_full_150epochs_alllosses - simverb__MIN","retrogan_full_150epochs_alllosses - simverb__MAX"
"2259","0.42556073823878476","0.42556073823878476","0.42556073823878476","0.3904629627288028","0.3904629627288028","0.3904629627288028","0.42170259752796385","0.42170259752796385","0.42170259752796385","0.3898452117260632","0.3898452117260632","0.3898452117260632","0.3284238148988695","0.3284238148988695","0.3284238148988695","0.3825308441346417","0.3825308441346417","0.3825308441346417","0.393290757781299","0.393290757781299","0.393290757781299","0.4129674104817595","0.4129674104817595","0.4129674104817595","0.4299056717608028","0.4299056717608028","0.4299056717608028","0.3345434441115646","0.3345434441115646","0.3345434441115646","0.370957224393425","0.370957224393425","0.370957224393425","0.42353159100534016","0.42353159100534016","0.42353159100534016"
"4518","0.4549215755795438","0.4549215755795438","0.4549215755795438","0.41046116461718657","0.41046116461718657","0.41046116461718657","0.4522831961542106","0.4522831961542106","0.4522831961542106","0.40437349531732175","0.40437349531732175","0.40437349531732175","0.3487031827886403","0.3487031827886403","0.3487031827886403","0.4023607733977175","0.4023607733977175","0.4023607733977175","0.4085705064811706","0.4085705064811706","0.4085705064811706","0.4518878989566175","0.4518878989566175","0.4518878989566175","0.45318243092247174","0.45318243092247174","0.45318243092247174","0.36334639108797745","0.36334639108797745","0.36334639108797745","0.4031441489600583","0.4031441489600583","0.4031441489600583","0.4483765247903097","0.4483765247903097","0.4483765247903097"
"6777","0.476208318714069","0.476208318714069","0.476208318714069","0.4151764289338229","0.4151764289338229","0.4151764289338229","0.47341597298969773","0.47341597298969773","0.47341597298969773","0.4138081076648667","0.4138081076648667","0.4138081076648667","0.36156354562277965","0.36156354562277965","0.36156354562277965","0.41007409157170777","0.41007409157170777","0.41007409157170777","0.42068261354385017","0.42068261354385017","0.42068261354385017","0.4805065241409385","0.4805065241409385","0.4805065241409385","0.4778246790888864","0.4778246790888864","0.4778246790888864","0.3635212001480261","0.3635212001480261","0.3635212001480261","0.4161424898607317","0.4161424898607317","0.4161424898607317","0.4743019438409238","0.4743019438409238","0.4743019438409238"
"9036","0.48678180401454724","0.48678180401454724","0.48678180401454724","0.42080269281564453","0.42080269281564453","0.42080269281564453","0.4892728598893594","0.4892728598893594","0.4892728598893594","0.4237775568359512","0.4237775568359512","0.4237775568359512","0.36434014994655217","0.36434014994655217","0.36434014994655217","0.4193762059866135","0.4193762059866135","0.4193762059866135","0.4272922722399557","0.4272922722399557","0.4272922722399557","0.4949200349908294","0.4949200349908294","0.4949200349908294","0.4881582805012617","0.4881582805012617","0.4881582805012617","0.37359196971750824","0.37359196971750824","0.37359196971750824","0.4239182409815848","0.4239182409815848","0.4239182409815848","0.48736634309325183","0.48736634309325183","0.48736634309325183"
"11295","0.49857815463069927","0.49857815463069927","0.49857815463069927","0.42107101694214655","0.42107101694214655","0.42107101694214655","0.5005053063815655","0.5005053063815655","0.5005053063815655","0.4209945053493904","0.4209945053493904","0.4209945053493904","0.36201804618638167","0.36201804618638167","0.36201804618638167","0.41821359586383133","0.41821359586383133","0.41821359586383133","0.42573396931043805","0.42573396931043805","0.42573396931043805","0.5142030878691052","0.5142030878691052","0.5142030878691052","0.4998554825662017","0.4998554825662017","0.4998554825662017","0.375521128684551","0.375521128684551","0.375521128684551","0.4286594557859178","0.4286594557859178","0.4286594557859178","0.4947771798717551","0.4947771798717551","0.4947771798717551"
"13554","0.5168817177865813","0.5168817177865813","0.5168817177865813","0.4300945746527949","0.4300945746527949","0.4300945746527949","0.5202424922710802","0.5202424922710802","0.5202424922710802","0.43552533294722123","0.43552533294722123","0.43552533294722123","0.3686022145721865","0.3686022145721865","0.3686022145721865","0.43460406576000016","0.43460406576000016","0.43460406576000016","0.43856478772038354","0.43856478772038354","0.43856478772038354","0.5313451325066807","0.5313451325066807","0.5313451325066807","0.5145231422044686","0.5145231422044686","0.5145231422044686","0.37914918990877083","0.37914918990877083","0.37914918990877083","0.43459179368347944","0.43459179368347944","0.43459179368347944","0.5128103049039222","0.5128103049039222","0.5128103049039222"
"15813","0.5280599406437828","0.5280599406437828","0.5280599406437828","0.43532676393732883","0.43532676393732883","0.43532676393732883","0.531875818260751","0.531875818260751","0.531875818260751","0.4338851525052868","0.4338851525052868","0.4338851525052868","0.3682155139878831","0.3682155139878831","0.3682155139878831","0.4352033466655561","0.4352033466655561","0.4352033466655561","0.4369065639178056","0.4369065639178056","0.4369065639178056","0.5445700300428288","0.5445700300428288","0.5445700300428288","0.526211147863562","0.526211147863562","0.526211147863562","0.3764403974428204","0.3764403974428204","0.3764403974428204","0.4434422693924332","0.4434422693924332","0.4434422693924332","0.5267260049012299","0.5267260049012299","0.5267260049012299"
"18072","0.5414284467223842","0.5414284467223842","0.5414284467223842","0.43162918579495146","0.43162918579495146","0.43162918579495146","0.5404149049743768","0.5404149049743768","0.5404149049743768","0.43698893348064877","0.43698893348064877","0.43698893348064877","0.3675919182520016","0.3675919182520016","0.3675919182520016","0.43345581189035304","0.43345581189035304","0.43345581189035304","0.4378982067474434","0.4378982067474434","0.4378982067474434","0.5576093624659374","0.5576093624659374","0.5576093624659374","0.5399385617179376","0.5399385617179376","0.5399385617179376","0.3727613006373652","0.3727613006373652","0.3727613006373652","0.45463831655984105","0.45463831655984105","0.45463831655984105","0.5370229653816299","0.5370229653816299","0.5370229653816299"
"20331","0.5520838374231862","0.5520838374231862","0.5520838374231862","0.44009892539630996","0.44009892539630996","0.44009892539630996","0.5538536562332581","0.5538536562332581","0.5538536562332581","0.4405426242341768","0.4405426242341768","0.4405426242341768","0.37269126025581595","0.37269126025581595","0.37269126025581595","0.43670127537083664","0.43670127537083664","0.43670127537083664","0.44097922143449486","0.44097922143449486","0.44097922143449486","0.5700441581150117","0.5700441581150117","0.5700441581150117","0.5464226378456861","0.5464226378456861","0.5464226378456861","0.37732954032304544","0.37732954032304544","0.37732954032304544","0.45343213712835173","0.45343213712835173","0.45343213712835173","0.5506463473252318","0.5506463473252318","0.5506463473252318"
"22590","0.5563520250624409","0.5563520250624409","0.5563520250624409","0.4394768103989689","0.4394768103989689","0.4394768103989689","0.5570978491556565","0.5570978491556565","0.5570978491556565","0.4417927745214018","0.4417927745214018","0.4417927745214018","0.37194291839072496","0.37194291839072496","0.37194291839072496","0.4381779560812102","0.4381779560812102","0.4381779560812102","0.44782070366300886","0.44782070366300886","0.44782070366300886","0.5741745647623467","0.5741745647623467","0.5741745647623467","0.554406381788372","0.554406381788372","0.554406381788372","0.3766261188514312","0.3766261188514312","0.3766261188514312","0.44967844430823367","0.44967844430823367","0.44967844430823367","0.5576242666163986","0.5576242666163986","0.5576242666163986"
