"Step","retrogan_full_150epochs_nocycleid - simlex","retrogan_full_150epochs_nocycleid - simlex__MIN","retrogan_full_150epochs_nocycleid - simlex__MAX","retrogan_ook_150epochs_nocycleid - simlex","retrogan_ook_150epochs_nocycleid - simlex__MIN","retrogan_ook_150epochs_nocycleid - simlex__MAX","retrogan_full_150epochs_nocyclemae - simlex","retrogan_full_150epochs_nocyclemae - simlex__MIN","retrogan_full_150epochs_nocyclemae - simlex__MAX","retrogan_ook_150epochs_nocyclemae - simlex","retrogan_ook_150epochs_nocyclemae - simlex__MIN","retrogan_ook_150epochs_nocyclemae - simlex__MAX","retrogan_full_150epochs_noonewaymm - simlex","retrogan_full_150epochs_noonewaymm - simlex__MIN","retrogan_full_150epochs_noonewaymm - simlex__MAX","retrogan_ook_150epochs_alllosses - simlex","retrogan_ook_150epochs_alllosses - simlex__MIN","retrogan_ook_150epochs_alllosses - simlex__MAX","retrogan_ook_150epochs_nocycledis - simlex","retrogan_ook_150epochs_nocycledis - simlex__MIN","retrogan_ook_150epochs_nocycledis - simlex__MAX","retrogan_full_150epochs_nocyclemm - simlex","retrogan_full_150epochs_nocyclemm - simlex__MIN","retrogan_full_150epochs_nocyclemm - simlex__MAX","retrogan_full_150epochs_nocycledis - simlex","retrogan_full_150epochs_nocycledis - simlex__MIN","retrogan_full_150epochs_nocycledis - simlex__MAX","retrogan_ook_150epochs_noonewaymm - simlex","retrogan_ook_150epochs_noonewaymm - simlex__MIN","retrogan_ook_150epochs_noonewaymm - simlex__MAX","retrogan_ook_150epochs_nocyclemm - simlex","retrogan_ook_150epochs_nocyclemm - simlex__MIN","retrogan_ook_150epochs_nocyclemm - simlex__MAX","retrogan_full_150epochs_alllosses - simlex","retrogan_full_150epochs_alllosses - simlex__MIN","retrogan_full_150epochs_alllosses - simlex__MAX"
"2259","0.5511833702637422","0.5511833702637422","0.5511833702637422","0.506315677194615","0.506315677194615","0.506315677194615","0.5351503350289534","0.5351503350289534","0.5351503350289534","0.5071655595705539","0.5071655595705539","0.5071655595705539","0.4442158516398935","0.4442158516398935","0.4442158516398935","0.5044561668133155","0.5044561668133155","0.5044561668133155","0.5194408773731696","0.5194408773731696","0.5194408773731696","0.5292081153725019","0.5292081153725019","0.5292081153725019","0.5565293723378097","0.5565293723378097","0.5565293723378097","0.4449833937618487","0.4449833937618487","0.4449833937618487","0.4941217427609968","0.4941217427609968","0.4941217427609968","0.5424301354608717","0.5424301354608717","0.5424301354608717"
"4518","0.5809931962076429","0.5809931962076429","0.5809931962076429","0.5364205021630664","0.5364205021630664","0.5364205021630664","0.5748229791442204","0.5748229791442204","0.5748229791442204","0.5362714852713095","0.5362714852713095","0.5362714852713095","0.4501849001848306","0.4501849001848306","0.4501849001848306","0.5330238055913018","0.5330238055913018","0.5330238055913018","0.540045385494227","0.540045385494227","0.540045385494227","0.5787453306806617","0.5787453306806617","0.5787453306806617","0.5813095760857444","0.5813095760857444","0.5813095760857444","0.46937758168088173","0.46937758168088173","0.46937758168088173","0.534336525411557","0.534336525411557","0.534336525411557","0.5745132011707105","0.5745132011707105","0.5745132011707105"
"6777","0.6012719060543495","0.6012719060543495","0.6012719060543495","0.5375880687403776","0.5375880687403776","0.5375880687403776","0.5909110743836651","0.5909110743836651","0.5909110743836651","0.546778744417486","0.546778744417486","0.546778744417486","0.4607434579953075","0.4607434579953075","0.4607434579953075","0.5380172844298958","0.5380172844298958","0.5380172844298958","0.5512612992177575","0.5512612992177575","0.5512612992177575","0.6061900120314645","0.6061900120314645","0.6061900120314645","0.6004435505815314","0.6004435505815314","0.6004435505815314","0.46014700570528533","0.46014700570528533","0.46014700570528533","0.5495196602159733","0.5495196602159733","0.5495196602159733","0.59298757498552","0.59298757498552","0.59298757498552"
"9036","0.6073111081105196","0.6073111081105196","0.6073111081105196","0.5480493011168954","0.5480493011168954","0.5480493011168954","0.6045329399971543","0.6045329399971543","0.6045329399971543","0.5550444734014548","0.5550444734014548","0.5550444734014548","0.46023429889224887","0.46023429889224887","0.46023429889224887","0.550777903791596","0.550777903791596","0.550777903791596","0.5579020148235316","0.5579020148235316","0.5579020148235316","0.6213051357841142","0.6213051357841142","0.6213051357841142","0.6084054053918119","0.6084054053918119","0.6084054053918119","0.46825161090472633","0.46825161090472633","0.46825161090472633","0.5581608732758491","0.5581608732758491","0.5581608732758491","0.6022719170646899","0.6022719170646899","0.6022719170646899"
"11295","0.6169060827397281","0.6169060827397281","0.6169060827397281","0.5514582068898886","0.5514582068898886","0.5514582068898886","0.6170125437171419","0.6170125437171419","0.6170125437171419","0.5524325866225125","0.5524325866225125","0.5524325866225125","0.4730567563082939","0.4730567563082939","0.4730567563082939","0.5490579481646913","0.5490579481646913","0.5490579481646913","0.5593218636352476","0.5593218636352476","0.5593218636352476","0.643086347640038","0.643086347640038","0.643086347640038","0.6188116939704383","0.6188116939704383","0.6188116939704383","0.4603643389600812","0.4603643389600812","0.4603643389600812","0.5701959286928635","0.5701959286928635","0.5701959286928635","0.6118757564208477","0.6118757564208477","0.6118757564208477"
"13554","0.6342297812949294","0.6342297812949294","0.6342297812949294","0.5652862180274213","0.5652862180274213","0.5652862180274213","0.6248825676594542","0.6248825676594542","0.6248825676594542","0.5686089018431841","0.5686089018431841","0.5686089018431841","0.47133606044960735","0.47133606044960735","0.47133606044960735","0.5653104230048751","0.5653104230048751","0.5653104230048751","0.5719593293054068","0.5719593293054068","0.5719593293054068","0.6538692257711547","0.6538692257711547","0.6538692257711547","0.6345647391853131","0.6345647391853131","0.6345647391853131","0.46988559131832786","0.46988559131832786","0.46988559131832786","0.5761103505395538","0.5761103505395538","0.5761103505395538","0.6277632428292517","0.6277632428292517","0.6277632428292517"
"15813","0.6442599279578735","0.6442599279578735","0.6442599279578735","0.570478625015816","0.570478625015816","0.570478625015816","0.6423681964305552","0.6423681964305552","0.6423681964305552","0.5710140352654817","0.5710140352654817","0.5710140352654817","0.4623886742848181","0.4623886742848181","0.4623886742848181","0.5677371856387513","0.5677371856387513","0.5677371856387513","0.5675452670084673","0.5675452670084673","0.5675452670084673","0.6687753634355247","0.6687753634355247","0.6687753634355247","0.6431375259414471","0.6431375259414471","0.6431375259414471","0.4601830844819725","0.4601830844819725","0.4601830844819725","0.5859026781835915","0.5859026781835915","0.5859026781835915","0.6371349442949753","0.6371349442949753","0.6371349442949753"
"18072","0.6516156472835213","0.6516156472835213","0.6516156472835213","0.5655171643252308","0.5655171643252308","0.5655171643252308","0.6470034135040914","0.6470034135040914","0.6470034135040914","0.5690554602064429","0.5690554602064429","0.5690554602064429","0.4589730416072571","0.4589730416072571","0.4589730416072571","0.5646767123818305","0.5646767123818305","0.5646767123818305","0.56567603732369","0.56567603732369","0.56567603732369","0.6780242586431872","0.6780242586431872","0.6780242586431872","0.6510306535407572","0.6510306535407572","0.6510306535407572","0.46802201868944476","0.46802201868944476","0.46802201868944476","0.5895691846166872","0.5895691846166872","0.5895691846166872","0.6445715655380552","0.6445715655380552","0.6445715655380552"
"20331","0.6611307310435853","0.6611307310435853","0.6611307310435853","0.5689551274121978","0.5689551274121978","0.5689551274121978","0.658529159364433","0.658529159364433","0.658529159364433","0.5735811530669802","0.5735811530669802","0.5735811530669802","0.46733166528972303","0.46733166528972303","0.46733166528972303","0.5716345781882108","0.5716345781882108","0.5716345781882108","0.5748037632086137","0.5748037632086137","0.5748037632086137","0.6876247519109648","0.6876247519109648","0.6876247519109648","0.6601874169732231","0.6601874169732231","0.6601874169732231","0.46851282245157","0.46851282245157","0.46851282245157","0.5903390738150239","0.5903390738150239","0.5903390738150239","0.6611505849025162","0.6611505849025162","0.6611505849025162"
"22590","0.6636784944921521","0.6636784944921521","0.6636784944921521","0.5698032688323585","0.5698032688323585","0.5698032688323585","0.6571201672855184","0.6571201672855184","0.6571201672855184","0.5734946723295333","0.5734946723295333","0.5734946723295333","0.4626436690883225","0.4626436690883225","0.4626436690883225","0.5680028325581418","0.5680028325581418","0.5680028325581418","0.5770445230483168","0.5770445230483168","0.5770445230483168","0.6897770690980917","0.6897770690980917","0.6897770690980917","0.6546924778573787","0.6546924778573787","0.6546924778573787","0.4681043529252841","0.4681043529252841","0.4681043529252841","0.5930767518517335","0.5930767518517335","0.5930767518517335","0.6601081519911137","0.6601081519911137","0.6601081519911137"
"24849","0.6748361585944058","0.6748361585944058","0.6748361585944058","0.5804854754411363","0.5804854754411363","0.5804854754411363","0.6658071423166918","0.6658071423166918","0.6658071423166918","0.5736021142645118","0.5736021142645118","0.5736021142645118","0.46098012153045687","0.46098012153045687","0.46098012153045687","0.57468482661751","0.57468482661751","0.57468482661751","0.5772357736645535","0.5772357736645535","0.5772357736645535","0.6951015382508936","0.6951015382508936","0.6951015382508936","0.6672356873473089","0.6672356873473089","0.6672356873473089","0.46875205573445","0.46875205573445","0.46875205573445","0.5959179419750182","0.5959179419750182","0.5959179419750182","0.6657334621727418","0.6657334621727418","0.6657334621727418"
"27108","0.6789719057776386","0.6789719057776386","0.6789719057776386","0.584060259332866","0.584060259332866","0.584060259332866","0.6784642331562883","0.6784642331562883","0.6784642331562883","0.5835808057913967","0.5835808057913967","0.5835808057913967","0.46046124312392045","0.46046124312392045","0.46046124312392045","0.5767420691567463","0.5767420691567463","0.5767420691567463","0.5826466272644892","0.5826466272644892","0.5826466272644892","0.7046006257826951","0.7046006257826951","0.7046006257826951","0.6753130002611325","0.6753130002611325","0.6753130002611325","0.46541469366408517","0.46541469366408517","0.46541469366408517","0.6033600096389323","0.6033600096389323","0.6033600096389323","0.6789393777062468","0.6789393777062468","0.6789393777062468"
"29367","0.6818929807519232","0.6818929807519232","0.6818929807519232","0.5781022721376456","0.5781022721376456","0.5781022721376456","0.6805984116556861","0.6805984116556861","0.6805984116556861","0.5784728454075848","0.5784728454075848","0.5784728454075848","0.4610671318646258","0.4610671318646258","0.4610671318646258","0.5789869815162013","0.5789869815162013","0.5789869815162013","0.578326080915997","0.578326080915997","0.578326080915997","0.7121886454886802","0.7121886454886802","0.7121886454886802","0.6774463542747245","0.6774463542747245","0.6774463542747245","0.4653772367322919","0.4653772367322919","0.4653772367322919","0.6011238777524025","0.6011238777524025","0.6011238777524025","0.6791781957371517","0.6791781957371517","0.6791781957371517"
"31626","0.688645832445439","0.688645832445439","0.688645832445439","0.5862372027675664","0.5862372027675664","0.5862372027675664","0.6849754382909521","0.6849754382909521","0.6849754382909521","0.5802037420213146","0.5802037420213146","0.5802037420213146","0.4634732883715","0.4634732883715","0.4634732883715","0.5779160948172799","0.5779160948172799","0.5779160948172799","0.5759811770845393","0.5759811770845393","0.5759811770845393","0.7170258848057043","0.7170258848057043","0.7170258848057043","0.6833062517316258","0.6833062517316258","0.6833062517316258","0.464375895712002","0.464375895712002","0.464375895712002","0.6003034782667038","0.6003034782667038","0.6003034782667038","0.6839054061685593","0.6839054061685593","0.6839054061685593"
"33885","0.6950513589614828","0.6950513589614828","0.6950513589614828","0.5827081447382667","0.5827081447382667","0.5827081447382667","0.694771400894309","0.694771400894309","0.694771400894309","0.5793193636407101","0.5793193636407101","0.5793193636407101","0.4645773892102941","0.4645773892102941","0.4645773892102941","0.5794171945988127","0.5794171945988127","0.5794171945988127","0.5803898290695119","0.5803898290695119","0.5803898290695119","0.7204314995051448","0.7204314995051448","0.7204314995051448","0.6897308849230168","0.6897308849230168","0.6897308849230168","0.4666479980486167","0.4666479980486167","0.4666479980486167","0.6090087442717403","0.6090087442717403","0.6090087442717403","0.6925916048590832","0.6925916048590832","0.6925916048590832"
"36144","0.6975159095251037","0.6975159095251037","0.6975159095251037","0.5888803778801196","0.5888803778801196","0.5888803778801196","0.695533869720393","0.695533869720393","0.695533869720393","0.5814961144947843","0.5814961144947843","0.5814961144947843","0.46890012014526455","0.46890012014526455","0.46890012014526455","0.5780770260211814","0.5780770260211814","0.5780770260211814","0.5810223601362211","0.5810223601362211","0.5810223601362211","0.7233039659257512","0.7233039659257512","0.7233039659257512","0.6893064622291377","0.6893064622291377","0.6893064622291377","0.4659195317393437","0.4659195317393437","0.4659195317393437","0.6054779150754174","0.6054779150754174","0.6054779150754174","0.6932819040955038","0.6932819040955038","0.6932819040955038"
