"Step","retrogan_full_150epochs_alllosses - card","retrogan_full_150epochs_alllosses - card__MIN","retrogan_full_150epochs_alllosses - card__MAX","retrogan_full_150epochs_nocyclemae - card","retrogan_full_150epochs_nocyclemae - card__MIN","retrogan_full_150epochs_nocyclemae - card__MAX","retrogan_full_150epochs_nocycledis - card","retrogan_full_150epochs_nocycledis - card__MIN","retrogan_full_150epochs_nocycledis - card__MAX","retrogan_ook_150epochs_alllosses - card","retrogan_ook_150epochs_alllosses - card__MIN","retrogan_ook_150epochs_alllosses - card__MAX","retrogan_full_150epochs_noonewaymm - card","retrogan_full_150epochs_noonewaymm - card__MIN","retrogan_full_150epochs_noonewaymm - card__MAX","retrogan_full_150epochs_nocycleid - card","retrogan_full_150epochs_nocycleid - card__MIN","retrogan_full_150epochs_nocycleid - card__MAX","retrogan_ook_150epochs_noonewaymm - card","retrogan_ook_150epochs_noonewaymm - card__MIN","retrogan_ook_150epochs_noonewaymm - card__MAX","retrogan_ook_150epochs_nocyclemae - card","retrogan_ook_150epochs_nocyclemae - card__MIN","retrogan_ook_150epochs_nocyclemae - card__MAX","retrogan_ook_150epochs_nocycleid - card","retrogan_ook_150epochs_nocycleid - card__MIN","retrogan_ook_150epochs_nocycleid - card__MAX","retrogan_full_150epochs_nocyclemm - card","retrogan_full_150epochs_nocyclemm - card__MIN","retrogan_full_150epochs_nocyclemm - card__MAX","retrogan_ook_150epochs_nocyclemm - card","retrogan_ook_150epochs_nocyclemm - card__MIN","retrogan_ook_150epochs_nocyclemm - card__MAX","retrogan_ook_150epochs_nocycledis - card","retrogan_ook_150epochs_nocycledis - card__MIN","retrogan_ook_150epochs_nocycledis - card__MAX"
"2259","0.4750832804867394","0.4750832804867394","0.4750832804867394","0.4590787753004688","0.4590787753004688","0.4590787753004688","0.4707257137954487","0.4707257137954487","0.4707257137954487","0.4701897560599493","0.4701897560599493","0.4701897560599493","0.30921800615000034","0.30921800615000034","0.30921800615000034","0.45059010175657327","0.45059010175657327","0.45059010175657327","0.3348742396832568","0.3348742396832568","0.3348742396832568","0.46087767571184796","0.46087767571184796","0.46087767571184796","0.4579056774232121","0.4579056774232121","0.4579056774232121","0.4634321660773453","0.4634321660773453","0.4634321660773453","0.4635794505787365","0.4635794505787365","0.4635794505787365","0.4735376701641578","0.4735376701641578","0.4735376701641578"
"4518","0.4825267435323153","0.4825267435323153","0.4825267435323153","0.46726127079950996","0.46726127079950996","0.46726127079950996","0.47694085249563906","0.47694085249563906","0.47694085249563906","0.47952332148771193","0.47952332148771193","0.47952332148771193","0.28383464774414424","0.28383464774414424","0.28383464774414424","0.4704765996210654","0.4704765996210654","0.4704765996210654","0.3359782052973853","0.3359782052973853","0.3359782052973853","0.4822590047796443","0.4822590047796443","0.4822590047796443","0.47235045769618084","0.47235045769618084","0.47235045769618084","0.4849730777144829","0.4849730777144829","0.4849730777144829","0.4848407221071226","0.4848407221071226","0.4848407221071226","0.4831905468876076","0.4831905468876076","0.4831905468876076"
"6777","0.48377828596184397","0.48377828596184397","0.48377828596184397","0.47086182772578183","0.47086182772578183","0.47086182772578183","0.4878352912131676","0.4878352912131676","0.4878352912131676","0.4781955268609786","0.4781955268609786","0.4781955268609786","0.3071212168838791","0.3071212168838791","0.3071212168838791","0.47471479779882425","0.47471479779882425","0.47471479779882425","0.3018777925883173","0.3018777925883173","0.3018777925883173","0.4786514323171565","0.4786514323171565","0.4786514323171565","0.4836431951305423","0.4836431951305423","0.4836431951305423","0.47860203124963574","0.47860203124963574","0.47860203124963574","0.48511555991429767","0.48511555991429767","0.48511555991429767","0.48224971337007255","0.48224971337007255","0.48224971337007255"
"9036","0.48876088264309053","0.48876088264309053","0.48876088264309053","0.47410816271186323","0.47410816271186323","0.47410816271186323","0.49019977747281557","0.49019977747281557","0.49019977747281557","0.48743154292802393","0.48743154292802393","0.48743154292802393","0.2925103604946549","0.2925103604946549","0.2925103604946549","0.4775365466868347","0.4775365466868347","0.4775365466868347","0.29707348657298804","0.29707348657298804","0.29707348657298804","0.4834375313456396","0.4834375313456396","0.4834375313456396","0.4834715232889717","0.4834715232889717","0.4834715232889717","0.49187722141345575","0.49187722141345575","0.49187722141345575","0.480033117119406","0.480033117119406","0.480033117119406","0.4906802164261773","0.4906802164261773","0.4906802164261773"
"11295","0.49428279867094005","0.49428279867094005","0.49428279867094005","0.4801839302684773","0.4801839302684773","0.4801839302684773","0.49055946986088866","0.49055946986088866","0.49055946986088866","0.48477338548719245","0.48477338548719245","0.48477338548719245","0.2648638861515573","0.2648638861515573","0.2648638861515573","0.48073533888730957","0.48073533888730957","0.48073533888730957","0.3019745276457239","0.3019745276457239","0.3019745276457239","0.487798543166322","0.487798543166322","0.487798543166322","0.494502577046563","0.494502577046563","0.494502577046563","0.4955873752135301","0.4955873752135301","0.4955873752135301","0.4888427096860382","0.4888427096860382","0.4888427096860382","0.4910219106231249","0.4910219106231249","0.4910219106231249"
"13554","0.4951479228601444","0.4951479228601444","0.4951479228601444","0.48827432597511183","0.48827432597511183","0.48827432597511183","0.49411893578932414","0.49411893578932414","0.49411893578932414","0.4882961868870706","0.4882961868870706","0.4882961868870706","0.27518724769336234","0.27518724769336234","0.27518724769336234","0.4851397384587564","0.4851397384587564","0.4851397384587564","0.2993486427072186","0.2993486427072186","0.2993486427072186","0.4871833265752397","0.4871833265752397","0.4871833265752397","0.4922957262533521","0.4922957262533521","0.4922957262533521","0.49457070709023193","0.49457070709023193","0.49457070709023193","0.4857770038779459","0.4857770038779459","0.4857770038779459","0.4936510454587772","0.4936510454587772","0.4936510454587772"
"15813","0.49890601615769453","0.49890601615769453","0.49890601615769453","0.4949817423460285","0.4949817423460285","0.4949817423460285","0.49909570706996276","0.49909570706996276","0.49909570706996276","0.4976701334072192","0.4976701334072192","0.4976701334072192","0.2590123651989895","0.2590123651989895","0.2590123651989895","0.4911037585456446","0.4911037585456446","0.4911037585456446","0.2934947905586749","0.2934947905586749","0.2934947905586749","0.4942182807932396","0.4942182807932396","0.4942182807932396","0.4970456671657093","0.4970456671657093","0.4970456671657093","0.5005320963510391","0.5005320963510391","0.5005320963510391","0.4881948165646641","0.4881948165646641","0.4881948165646641","0.5000632664397491","0.5000632664397491","0.5000632664397491"
"18072","0.5031231886063774","0.5031231886063774","0.5031231886063774","0.4999013244787637","0.4999013244787637","0.4999013244787637","0.5036645959101875","0.5036645959101875","0.5036645959101875","0.49252989595683405","0.49252989595683405","0.49252989595683405","0.2770121849311145","0.2770121849311145","0.2770121849311145","0.49040621380188487","0.49040621380188487","0.49040621380188487","0.28970658891819784","0.28970658891819784","0.28970658891819784","0.4965021301455479","0.4965021301455479","0.4965021301455479","0.4986784966645213","0.4986784966645213","0.4986784966645213","0.4987389378219796","0.4987389378219796","0.4987389378219796","0.49004006962604174","0.49004006962604174","0.49004006962604174","0.49382232058847847","0.49382232058847847","0.49382232058847847"
"20331","0.5029883274503686","0.5029883274503686","0.5029883274503686","0.49508927214219595","0.49508927214219595","0.49508927214219595","0.4997335988763145","0.4997335988763145","0.4997335988763145","0.4983435831248085","0.4983435831248085","0.4983435831248085","0.3147675458517002","0.3147675458517002","0.3147675458517002","0.49435429032571226","0.49435429032571226","0.49435429032571226","0.2858984472863927","0.2858984472863927","0.2858984472863927","0.4959544589701164","0.4959544589701164","0.4959544589701164","0.5011347643193066","0.5011347643193066","0.5011347643193066","0.5008526604210505","0.5008526604210505","0.5008526604210505","0.4956700165597884","0.4956700165597884","0.4956700165597884","0.5032318667790088","0.5032318667790088","0.5032318667790088"
"22590","0.5066436514941836","0.5066436514941836","0.5066436514941836","0.4909742425600861","0.4909742425600861","0.4909742425600861","0.5001113312146573","0.5001113312146573","0.5001113312146573","0.4926361938582492","0.4926361938582492","0.4926361938582492","0.31384393798112403","0.31384393798112403","0.31384393798112403","0.4962397992020435","0.4962397992020435","0.4962397992020435","0.3163163089896646","0.3163163089896646","0.3163163089896646","0.49468349853856125","0.49468349853856125","0.49468349853856125","0.5048676977325107","0.5048676977325107","0.5048676977325107","0.4986555030519825","0.4986555030519825","0.4986555030519825","0.4936577060422679","0.4936577060422679","0.4936577060422679","0.49386633472640484","0.49386633472640484","0.49386633472640484"
