"Step","retrogan_full_150epochs_nocycleid - card","retrogan_full_150epochs_nocycleid - card__MIN","retrogan_full_150epochs_nocycleid - card__MAX","retrogan_ook_150epochs_nocycleid - card","retrogan_ook_150epochs_nocycleid - card__MIN","retrogan_ook_150epochs_nocycleid - card__MAX","retrogan_full_150epochs_nocyclemae - card","retrogan_full_150epochs_nocyclemae - card__MIN","retrogan_full_150epochs_nocyclemae - card__MAX","retrogan_ook_150epochs_nocyclemae - card","retrogan_ook_150epochs_nocyclemae - card__MIN","retrogan_ook_150epochs_nocyclemae - card__MAX","retrogan_full_150epochs_noonewaymm - card","retrogan_full_150epochs_noonewaymm - card__MIN","retrogan_full_150epochs_noonewaymm - card__MAX","retrogan_ook_150epochs_alllosses - card","retrogan_ook_150epochs_alllosses - card__MIN","retrogan_ook_150epochs_alllosses - card__MAX","retrogan_ook_150epochs_nocycledis - card","retrogan_ook_150epochs_nocycledis - card__MIN","retrogan_ook_150epochs_nocycledis - card__MAX","retrogan_full_150epochs_nocyclemm - card","retrogan_full_150epochs_nocyclemm - card__MIN","retrogan_full_150epochs_nocyclemm - card__MAX","retrogan_full_150epochs_nocycledis - card","retrogan_full_150epochs_nocycledis - card__MIN","retrogan_full_150epochs_nocycledis - card__MAX","retrogan_ook_150epochs_noonewaymm - card","retrogan_ook_150epochs_noonewaymm - card__MIN","retrogan_ook_150epochs_noonewaymm - card__MAX","retrogan_ook_150epochs_nocyclemm - card","retrogan_ook_150epochs_nocyclemm - card__MIN","retrogan_ook_150epochs_nocyclemm - card__MAX","retrogan_full_150epochs_alllosses - card","retrogan_full_150epochs_alllosses - card__MIN","retrogan_full_150epochs_alllosses - card__MAX"
"2259","0.47859998505157275","0.47859998505157275","0.47859998505157275","0.46664855975707625","0.46664855975707625","0.46664855975707625","0.4667922738516434","0.4667922738516434","0.4667922738516434","0.47250868309333754","0.47250868309333754","0.47250868309333754","0.40854703719284763","0.40854703719284763","0.40854703719284763","0.46961661180659076","0.46961661180659076","0.46961661180659076","0.46956673050891223","0.46956673050891223","0.46956673050891223","0.4606051764167448","0.4606051764167448","0.4606051764167448","0.4700833537606736","0.4700833537606736","0.4700833537606736","0.3985876692309625","0.3985876692309625","0.3985876692309625","0.45193190657616644","0.45193190657616644","0.45193190657616644","0.4772613748065064","0.4772613748065064","0.4772613748065064"
"4518","0.4820669127165879","0.4820669127165879","0.4820669127165879","0.4760955847794746","0.4760955847794746","0.4760955847794746","0.47699833395755153","0.47699833395755153","0.47699833395755153","0.4775730232992434","0.4775730232992434","0.4775730232992434","0.4298069097899049","0.4298069097899049","0.4298069097899049","0.4779502962870006","0.4779502962870006","0.4779502962870006","0.47473231575979213","0.47473231575979213","0.47473231575979213","0.4777529843309263","0.4777529843309263","0.4777529843309263","0.48358462793088225","0.48358462793088225","0.48358462793088225","0.4145200354957266","0.4145200354957266","0.4145200354957266","0.46995429712570064","0.46995429712570064","0.46995429712570064","0.48125989637645816","0.48125989637645816","0.48125989637645816"
"6777","0.4891457975542259","0.4891457975542259","0.4891457975542259","0.47196182622121674","0.47196182622121674","0.47196182622121674","0.48064459626708755","0.48064459626708755","0.48064459626708755","0.481329216555735","0.481329216555735","0.481329216555735","0.43103185164461477","0.43103185164461477","0.43103185164461477","0.48336092419570986","0.48336092419570986","0.48336092419570986","0.4732263348650019","0.4732263348650019","0.4732263348650019","0.4760612170038452","0.4760612170038452","0.4760612170038452","0.484290106912029","0.484290106912029","0.484290106912029","0.4158523818691715","0.4158523818691715","0.4158523818691715","0.47887500533215016","0.47887500533215016","0.47887500533215016","0.48383031785544584","0.48383031785544584","0.48383031785544584"
"9036","0.49160278031814986","0.49160278031814986","0.49160278031814986","0.47420709012433737","0.47420709012433737","0.47420709012433737","0.487878428409067","0.487878428409067","0.487878428409067","0.48752986483290794","0.48752986483290794","0.48752986483290794","0.4278042247551094","0.4278042247551094","0.4278042247551094","0.4874307286247131","0.4874307286247131","0.4874307286247131","0.4853224973530969","0.4853224973530969","0.4853224973530969","0.48529842320649863","0.48529842320649863","0.48529842320649863","0.49362791089292213","0.49362791089292213","0.49362791089292213","0.42285326062555084","0.42285326062555084","0.42285326062555084","0.47422408609600336","0.47422408609600336","0.47422408609600336","0.4875994146874776","0.4875994146874776","0.4875994146874776"
"11295","0.49498393470109603","0.49498393470109603","0.49498393470109603","0.47733835778873346","0.47733835778873346","0.47733835778873346","0.48796952598201426","0.48796952598201426","0.48796952598201426","0.4892726409545593","0.4892726409545593","0.4892726409545593","0.4358628417530513","0.4358628417530513","0.4358628417530513","0.4847621731569902","0.4847621731569902","0.4847621731569902","0.4827618892729828","0.4827618892729828","0.4827618892729828","0.49115850478361567","0.49115850478361567","0.49115850478361567","0.4892438062655288","0.4892438062655288","0.4892438062655288","0.4193552850368656","0.4193552850368656","0.4193552850368656","0.4849720963745955","0.4849720963745955","0.4849720963745955","0.48697110660470655","0.48697110660470655","0.48697110660470655"
"13554","0.4955054437727221","0.4955054437727221","0.4955054437727221","0.4808400708208194","0.4808400708208194","0.4808400708208194","0.4904165283104882","0.4904165283104882","0.4904165283104882","0.4935834165248381","0.4935834165248381","0.4935834165248381","0.4410818160697176","0.4410818160697176","0.4410818160697176","0.4871625514010287","0.4871625514010287","0.4871625514010287","0.4855908416133578","0.4855908416133578","0.4855908416133578","0.48921390671832266","0.48921390671832266","0.48921390671832266","0.48970660198049026","0.48970660198049026","0.48970660198049026","0.42205202792688495","0.42205202792688495","0.42205202792688495","0.484499048789747","0.484499048789747","0.484499048789747","0.4895962534420931","0.4895962534420931","0.4895962534420931"
"15813","0.5032367943580176","0.5032367943580176","0.5032367943580176","0.4775575724159105","0.4775575724159105","0.4775575724159105","0.49492831152109784","0.49492831152109784","0.49492831152109784","0.49710421348579736","0.49710421348579736","0.49710421348579736","0.43687575155337655","0.43687575155337655","0.43687575155337655","0.4938952529337237","0.4938952529337237","0.4938952529337237","0.4917736378564097","0.4917736378564097","0.4917736378564097","0.49685777189663927","0.49685777189663927","0.49685777189663927","0.4983498887555741","0.4983498887555741","0.4983498887555741","0.41981075202203005","0.41981075202203005","0.41981075202203005","0.4860269949943563","0.4860269949943563","0.4860269949943563","0.4971819063734748","0.4971819063734748","0.4971819063734748"
"18072","0.5030950220636532","0.5030950220636532","0.5030950220636532","0.4837280079522962","0.4837280079522962","0.4837280079522962","0.4954925819563261","0.4954925819563261","0.4954925819563261","0.4920731344382012","0.4920731344382012","0.4920731344382012","0.4498342612475904","0.4498342612475904","0.4498342612475904","0.489215472686228","0.489215472686228","0.489215472686228","0.4878062477284163","0.4878062477284163","0.4878062477284163","0.4979953745013746","0.4979953745013746","0.4979953745013746","0.49778062810262086","0.49778062810262086","0.49778062810262086","0.42823647365613043","0.42823647365613043","0.42823647365613043","0.4921407424925681","0.4921407424925681","0.4921407424925681","0.49563834224895625","0.49563834224895625","0.49563834224895625"
"20331","0.5125282874480566","0.5125282874480566","0.5125282874480566","0.48747169434511717","0.48747169434511717","0.48747169434511717","0.5002189654086852","0.5002189654086852","0.5002189654086852","0.502053486370018","0.502053486370018","0.502053486370018","0.439170145089581","0.439170145089581","0.439170145089581","0.4928783551351328","0.4928783551351328","0.4928783551351328","0.4974685828980146","0.4974685828980146","0.4974685828980146","0.4983073570672647","0.4983073570672647","0.4983073570672647","0.4929357321991848","0.4929357321991848","0.4929357321991848","0.4196905274460432","0.4196905274460432","0.4196905274460432","0.4882671434023193","0.4882671434023193","0.4882671434023193","0.4987575624002672","0.4987575624002672","0.4987575624002672"
"22590","0.5078284681105402","0.5078284681105402","0.5078284681105402","0.48819391874306506","0.48819391874306506","0.48819391874306506","0.5038184365972093","0.5038184365972093","0.5038184365972093","0.4968895714849039","0.4968895714849039","0.4968895714849039","0.43004940513994155","0.43004940513994155","0.43004940513994155","0.49000077427140354","0.49000077427140354","0.49000077427140354","0.4921420996647528","0.4921420996647528","0.4921420996647528","0.5014183924263238","0.5014183924263238","0.5014183924263238","0.49327976490820447","0.49327976490820447","0.49327976490820447","0.43093386381288395","0.43093386381288395","0.43093386381288395","0.49344698940092385","0.49344698940092385","0.49344698940092385","0.5043070394632508","0.5043070394632508","0.5043070394632508"
"24849","0.5084491707299094","0.5084491707299094","0.5084491707299094","0.48837396329303634","0.48837396329303634","0.48837396329303634","0.5062755028794215","0.5062755028794215","0.5062755028794215","0.5029712479604141","0.5029712479604141","0.5029712479604141","0.43916550982458114","0.43916550982458114","0.43916550982458114","0.4938916825268996","0.4938916825268996","0.4938916825268996","0.4996768064402804","0.4996768064402804","0.4996768064402804","0.5028458661301257","0.5028458661301257","0.5028458661301257","0.5015229990824013","0.5015229990824013","0.5015229990824013","0.41612314815979273","0.41612314815979273","0.41612314815979273","0.4969068180114348","0.4969068180114348","0.4969068180114348","0.5055307076640645","0.5055307076640645","0.5055307076640645"
"27108","0.5056478003042405","0.5056478003042405","0.5056478003042405","0.4857124442411014","0.4857124442411014","0.4857124442411014","0.5010589923522597","0.5010589923522597","0.5010589923522597","0.5003842272216299","0.5003842272216299","0.5003842272216299","0.44672368523911693","0.44672368523911693","0.44672368523911693","0.49326040954489425","0.49326040954489425","0.49326040954489425","0.4977702300757293","0.4977702300757293","0.4977702300757293","0.5128683112792385","0.5128683112792385","0.5128683112792385","0.5047346322197","0.5047346322197","0.5047346322197","0.4189160623587727","0.4189160623587727","0.4189160623587727","0.4981451645514145","0.4981451645514145","0.4981451645514145","0.5038772334721622","0.5038772334721622","0.5038772334721622"
"29367","0.5046186879559879","0.5046186879559879","0.5046186879559879","0.4863173045644364","0.4863173045644364","0.4863173045644364","0.502879294325012","0.502879294325012","0.502879294325012","0.4981366039268653","0.4981366039268653","0.4981366039268653","0.4354043263503644","0.4354043263503644","0.4354043263503644","0.4886965109223945","0.4886965109223945","0.4886965109223945","0.49850857350331634","0.49850857350331634","0.49850857350331634","0.5091524991151328","0.5091524991151328","0.5091524991151328","0.5001741996061642","0.5001741996061642","0.5001741996061642","0.42103362679910483","0.42103362679910483","0.42103362679910483","0.4951391325603023","0.4951391325603023","0.4951391325603023","0.5036113947605497","0.5036113947605497","0.5036113947605497"
"31626","0.5073658132534153","0.5073658132534153","0.5073658132534153","0.4872377804992018","0.4872377804992018","0.4872377804992018","0.509226600716414","0.509226600716414","0.509226600716414","0.5027744371140697","0.5027744371140697","0.5027744371140697","0.4477821333861299","0.4477821333861299","0.4477821333861299","0.49541946686461263","0.49541946686461263","0.49541946686461263","0.5028709007370392","0.5028709007370392","0.5028709007370392","0.502488888086422","0.502488888086422","0.502488888086422","0.5051872387034907","0.5051872387034907","0.5051872387034907","0.4176950458636123","0.4176950458636123","0.4176950458636123","0.4891010317517049","0.4891010317517049","0.4891010317517049","0.5048299265866336","0.5048299265866336","0.5048299265866336"
"33885","0.5091092784009451","0.5091092784009451","0.5091092784009451","0.49004113448421743","0.49004113448421743","0.49004113448421743","0.5022768351524652","0.5022768351524652","0.5022768351524652","0.5056722920422803","0.5056722920422803","0.5056722920422803","0.4403894912189757","0.4403894912189757","0.4403894912189757","0.5012951194328145","0.5012951194328145","0.5012951194328145","0.5046507589786895","0.5046507589786895","0.5046507589786895","0.5083775120385605","0.5083775120385605","0.5083775120385605","0.5052701723637582","0.5052701723637582","0.5052701723637582","0.41824192361530504","0.41824192361530504","0.41824192361530504","0.49510069326811895","0.49510069326811895","0.49510069326811895","0.5010924205471459","0.5010924205471459","0.5010924205471459"
"36144","0.5143365001485796","0.5143365001485796","0.5143365001485796","0.49213646218029355","0.49213646218029355","0.49213646218029355","0.504434655407751","0.504434655407751","0.504434655407751","0.5034545891742939","0.5034545891742939","0.5034545891742939","0.44224791929033036","0.44224791929033036","0.44224791929033036","0.4984437006728907","0.4984437006728907","0.4984437006728907","0.503433292010781","0.503433292010781","0.503433292010781","0.5025225250770289","0.5025225250770289","0.5025225250770289","0.5062806601337232","0.5062806601337232","0.5062806601337232","0.4188242174916432","0.4188242174916432","0.4188242174916432","0.4903899694948135","0.4903899694948135","0.4903899694948135","0.5088377813253013","0.5088377813253013","0.5088377813253013"
"38403","0.5187736180094621","0.5187736180094621","0.5187736180094621","0.4944054870364313","0.4944054870364313","0.4944054870364313","0.5143156623356523","0.5143156623356523","0.5143156623356523","0.5074983567769242","0.5074983567769242","0.5074983567769242","0.42730010836701865","0.42730010836701865","0.42730010836701865","0.49835285365480825","0.49835285365480825","0.49835285365480825","0.5066732378478087","0.5066732378478087","0.5066732378478087","0.5065067232605396","0.5065067232605396","0.5065067232605396","0.5094700356471938","0.5094700356471938","0.5094700356471938","0.4295402150158375","0.4295402150158375","0.4295402150158375","0.4971344888653008","0.4971344888653008","0.4971344888653008","0.5070126352918285","0.5070126352918285","0.5070126352918285"
"40662","0.5157414865532608","0.5157414865532608","0.5157414865532608","0.49300175340607444","0.49300175340607444","0.49300175340607444","0.5124590090279237","0.5124590090279237","0.5124590090279237","0.5000867350787572","0.5000867350787572","0.5000867350787572","0.4376705533438446","0.4376705533438446","0.4376705533438446","0.4998794218076608","0.4998794218076608","0.4998794218076608","0.503522197228661","0.503522197228661","0.503522197228661","0.5102263146271903","0.5102263146271903","0.5102263146271903","0.5096253170246885","0.5096253170246885","0.5096253170246885","0.42887254893971205","0.42887254893971205","0.42887254893971205","0.49430100565778623","0.49430100565778623","0.49430100565778623","0.5097643958542557","0.5097643958542557","0.5097643958542557"
"42921","0.5148694303461288","0.5148694303461288","0.5148694303461288","0.4911856691068806","0.4911856691068806","0.4911856691068806","0.5169924025956273","0.5169924025956273","0.5169924025956273","0.5063238182091946","0.5063238182091946","0.5063238182091946","0.43936881421783985","0.43936881421783985","0.43936881421783985","0.4982017064325837","0.4982017064325837","0.4982017064325837","0.5046055547051549","0.5046055547051549","0.5046055547051549","0.5116234085536284","0.5116234085536284","0.5116234085536284","0.5107776188481622","0.5107776188481622","0.5107776188481622","0.4245985214162788","0.4245985214162788","0.4245985214162788","0.498193584279048","0.498193584279048","0.498193584279048","0.5067706619310935","0.5067706619310935","0.5067706619310935"
"45180","0.5135172483792161","0.5135172483792161","0.5135172483792161","0.49645859623777916","0.49645859623777916","0.49645859623777916","0.510702076556408","0.510702076556408","0.510702076556408","0.5054761702218141","0.5054761702218141","0.5054761702218141","0.44431052869697074","0.44431052869697074","0.44431052869697074","0.4955350301263472","0.4955350301263472","0.4955350301263472","0.5040329950798145","0.5040329950798145","0.5040329950798145","0.5051022588451604","0.5051022588451604","0.5051022588451604","0.5023792912126194","0.5023792912126194","0.5023792912126194","0.4237572834575241","0.4237572834575241","0.4237572834575241","0.49351752059538084","0.49351752059538084","0.49351752059538084","0.5053113468798828","0.5053113468798828","0.5053113468798828"
"47439","0.5173153051777107","0.5173153051777107","0.5173153051777107","0.5003786106167426","0.5003786106167426","0.5003786106167426","0.5136226275794601","0.5136226275794601","0.5136226275794601","0.5111088941386462","0.5111088941386462","0.5111088941386462","0.43273921008786187","0.43273921008786187","0.43273921008786187","0.5053469256706924","0.5053469256706924","0.5053469256706924","0.5096250455902516","0.5096250455902516","0.5096250455902516","0.508049890673189","0.508049890673189","0.508049890673189","0.5105610976857823","0.5105610976857823","0.5105610976857823","0.4217360364831571","0.4217360364831571","0.4217360364831571","0.4975684081320876","0.4975684081320876","0.4975684081320876","0.5105670901229667","0.5105670901229667","0.5105670901229667"
