"Step","retrogan_full_150epochs_alllosses - simlex","retrogan_full_150epochs_alllosses - simlex__MIN","retrogan_full_150epochs_alllosses - simlex__MAX","retrogan_full_150epochs_nocyclemae - simlex","retrogan_full_150epochs_nocyclemae - simlex__MIN","retrogan_full_150epochs_nocyclemae - simlex__MAX","retrogan_full_150epochs_nocycledis - simlex","retrogan_full_150epochs_nocycledis - simlex__MIN","retrogan_full_150epochs_nocycledis - simlex__MAX","retrogan_ook_150epochs_alllosses - simlex","retrogan_ook_150epochs_alllosses - simlex__MIN","retrogan_ook_150epochs_alllosses - simlex__MAX","retrogan_full_150epochs_noonewaymm - simlex","retrogan_full_150epochs_noonewaymm - simlex__MIN","retrogan_full_150epochs_noonewaymm - simlex__MAX","retrogan_full_150epochs_nocycleid - simlex","retrogan_full_150epochs_nocycleid - simlex__MIN","retrogan_full_150epochs_nocycleid - simlex__MAX","retrogan_ook_150epochs_noonewaymm - simlex","retrogan_ook_150epochs_noonewaymm - simlex__MIN","retrogan_ook_150epochs_noonewaymm - simlex__MAX","retrogan_ook_150epochs_nocyclemae - simlex","retrogan_ook_150epochs_nocyclemae - simlex__MIN","retrogan_ook_150epochs_nocyclemae - simlex__MAX","retrogan_ook_150epochs_nocycleid - simlex","retrogan_ook_150epochs_nocycleid - simlex__MIN","retrogan_ook_150epochs_nocycleid - simlex__MAX","retrogan_full_150epochs_nocyclemm - simlex","retrogan_full_150epochs_nocyclemm - simlex__MIN","retrogan_full_150epochs_nocyclemm - simlex__MAX","retrogan_ook_150epochs_nocyclemm - simlex","retrogan_ook_150epochs_nocyclemm - simlex__MIN","retrogan_ook_150epochs_nocyclemm - simlex__MAX","retrogan_ook_150epochs_nocycledis - simlex","retrogan_ook_150epochs_nocycledis - simlex__MIN","retrogan_ook_150epochs_nocycledis - simlex__MAX"
"2259","0.5485629557739465","0.5485629557739465","0.5485629557739465","0.5370615954353958","0.5370615954353958","0.5370615954353958","0.5547898095959015","0.5547898095959015","0.5547898095959015","0.5122772752765764","0.5122772752765764","0.5122772752765764","0.4283922658905161","0.4283922658905161","0.4283922658905161","0.5362106719204467","0.5362106719204467","0.5362106719204467","0.41185714287253633","0.41185714287253633","0.41185714287253633","0.5099786509768491","0.5099786509768491","0.5099786509768491","0.49870697914389306","0.49870697914389306","0.49870697914389306","0.531084470540448","0.531084470540448","0.531084470540448","0.49924282871811226","0.49924282871811226","0.49924282871811226","0.5095423956770913","0.5095423956770913","0.5095423956770913"
"4518","0.5820154924073199","0.5820154924073199","0.5820154924073199","0.5873496086458648","0.5873496086458648","0.5873496086458648","0.5800771744228982","0.5800771744228982","0.5800771744228982","0.537204965693447","0.537204965693447","0.537204965693447","0.44755941841730834","0.44755941841730834","0.44755941841730834","0.5857054996949549","0.5857054996949549","0.5857054996949549","0.41097263209275126","0.41097263209275126","0.41097263209275126","0.5370257573844914","0.5370257573844914","0.5370257573844914","0.5316906180613699","0.5316906180613699","0.5316906180613699","0.581412149341767","0.581412149341767","0.581412149341767","0.5296482824662292","0.5296482824662292","0.5296482824662292","0.5351590238309425","0.5351590238309425","0.5351590238309425"
"6777","0.600739896056365","0.600739896056365","0.600739896056365","0.6167304732812244","0.6167304732812244","0.6167304732812244","0.5993908326610617","0.5993908326610617","0.5993908326610617","0.548888092052395","0.548888092052395","0.548888092052395","0.3956083571549729","0.3956083571549729","0.3956083571549729","0.6123016244030807","0.6123016244030807","0.6123016244030807","0.3986109057704235","0.3986109057704235","0.3986109057704235","0.5571485732143002","0.5571485732143002","0.5571485732143002","0.5491865799866947","0.5491865799866947","0.5491865799866947","0.6091501507821422","0.6091501507821422","0.6091501507821422","0.5485701594929948","0.5485701594929948","0.5485701594929948","0.5452147911340816","0.5452147911340816","0.5452147911340816"
"9036","0.61178357048235","0.61178357048235","0.61178357048235","0.6341892430731171","0.6341892430731171","0.6341892430731171","0.6106440889716388","0.6106440889716388","0.6106440889716388","0.5539134112749946","0.5539134112749946","0.5539134112749946","0.3922881509861033","0.3922881509861033","0.3922881509861033","0.6279759962760311","0.6279759962760311","0.6279759962760311","0.3931625651479717","0.3931625651479717","0.3931625651479717","0.5691148833659107","0.5691148833659107","0.5691148833659107","0.5653950802445178","0.5653950802445178","0.5653950802445178","0.6264844111810608","0.6264844111810608","0.6264844111810608","0.5593072575983803","0.5593072575983803","0.5593072575983803","0.5528718630308437","0.5528718630308437","0.5528718630308437"
"11295","0.6232077360805229","0.6232077360805229","0.6232077360805229","0.6500767776266777","0.6500767776266777","0.6500767776266777","0.6174915158070456","0.6174915158070456","0.6174915158070456","0.5570633863779355","0.5570633863779355","0.5570633863779355","0.4046922589111502","0.4046922589111502","0.4046922589111502","0.6505935557007598","0.6505935557007598","0.6505935557007598","0.3799785797332737","0.3799785797332737","0.3799785797332737","0.5766656688114514","0.5766656688114514","0.5766656688114514","0.5756061503876195","0.5756061503876195","0.5756061503876195","0.6486464933522803","0.6486464933522803","0.6486464933522803","0.5636173280531154","0.5636173280531154","0.5636173280531154","0.5551962329530343","0.5551962329530343","0.5551962329530343"
"13554","0.6391636247200905","0.6391636247200905","0.6391636247200905","0.6603003534741924","0.6603003534741924","0.6603003534741924","0.6308224763483914","0.6308224763483914","0.6308224763483914","0.5678334639155553","0.5678334639155553","0.5678334639155553","0.36747067267938144","0.36747067267938144","0.36747067267938144","0.6570257004702295","0.6570257004702295","0.6570257004702295","0.3692209849384824","0.3692209849384824","0.3692209849384824","0.5865041496061837","0.5865041496061837","0.5865041496061837","0.5781926586509173","0.5781926586509173","0.5781926586509173","0.6544515233851522","0.6544515233851522","0.6544515233851522","0.5727013966214042","0.5727013966214042","0.5727013966214042","0.5671401736612842","0.5671401736612842","0.5671401736612842"
"15813","0.6471468138528655","0.6471468138528655","0.6471468138528655","0.6808284853225332","0.6808284853225332","0.6808284853225332","0.6396957911898338","0.6396957911898338","0.6396957911898338","0.5700178698495204","0.5700178698495204","0.5700178698495204","0.4134522159815035","0.4134522159815035","0.4134522159815035","0.6728971003782023","0.6728971003782023","0.6728971003782023","0.39319218645553705","0.39319218645553705","0.39319218645553705","0.593920784591152","0.593920784591152","0.593920784591152","0.5883502997065414","0.5883502997065414","0.5883502997065414","0.6727034605585719","0.6727034605585719","0.6727034605585719","0.5824067380038512","0.5824067380038512","0.5824067380038512","0.5694138948787878","0.5694138948787878","0.5694138948787878"
"18072","0.6535418387066378","0.6535418387066378","0.6535418387066378","0.688500452127102","0.688500452127102","0.688500452127102","0.6465506624700718","0.6465506624700718","0.6465506624700718","0.5719320610923677","0.5719320610923677","0.5719320610923677","0.41197491194359387","0.41197491194359387","0.41197491194359387","0.6818138502205864","0.6818138502205864","0.6818138502205864","0.37429098589068527","0.37429098589068527","0.37429098589068527","0.5957558251966366","0.5957558251966366","0.5957558251966366","0.5889553898061982","0.5889553898061982","0.5889553898061982","0.6764542932333589","0.6764542932333589","0.6764542932333589","0.5832560323566521","0.5832560323566521","0.5832560323566521","0.566831876151338","0.566831876151338","0.566831876151338"
"20331","0.6638427838207229","0.6638427838207229","0.6638427838207229","0.6953814722454893","0.6953814722454893","0.6953814722454893","0.6597440722991638","0.6597440722991638","0.6597440722991638","0.574596257583898","0.574596257583898","0.574596257583898","0.40099278027056023","0.40099278027056023","0.40099278027056023","0.6895767611742796","0.6895767611742796","0.6895767611742796","0.41922900888006087","0.41922900888006087","0.41922900888006087","0.600590862724275","0.600590862724275","0.600590862724275","0.5911131456238357","0.5911131456238357","0.5911131456238357","0.6863689396657479","0.6863689396657479","0.6863689396657479","0.5844016084927814","0.5844016084927814","0.5844016084927814","0.5712974357113487","0.5712974357113487","0.5712974357113487"
"22590","0.660124262564123","0.660124262564123","0.660124262564123","0.701603060190947","0.701603060190947","0.701603060190947","0.657308228285134","0.657308228285134","0.657308228285134","0.5724736459583604","0.5724736459583604","0.5724736459583604","0.37468845124082406","0.37468845124082406","0.37468845124082406","0.6968170464689621","0.6968170464689621","0.6968170464689621","0.3769762417528829","0.3769762417528829","0.3769762417528829","0.5979284415853924","0.5979284415853924","0.5979284415853924","0.5986713213509065","0.5986713213509065","0.5986713213509065","0.6935180079432084","0.6935180079432084","0.6935180079432084","0.5918702944101213","0.5918702944101213","0.5918702944101213","0.5771784508375403","0.5771784508375403","0.5771784508375403"
